gene_id,Ctr_1,Ctr_2,Ctr_3,TTT_1,TTT_2,TTT_3
ENSG00000173120,12.86099844,14.06089949,13.34317787,11.99379002,11.44903918,13.11639684
ENSG00000139613,15.30628947,15.46596138,16.04640789,16.27266089,14.33200921,16.00164588
ENSG00000105993,9.26847744,8.667849734,8.283284921,9.176181039,9.090171713,8.78268878
ENSG00000038358,20.96131176,21.95703154,20.23467832,21.19203487,20.59509369,24.02093012
ENSG00000149115,16.95876924,18.50092303,20.32845369,17.03317337,18.44622704,20.42852955
ENSG00000164091,23.76860942,21.94543905,21.09089045,25.48324459,22.79530112,24.12455746
ENSG00000179889,15.22362012,14.98272586,14.70621718,13.49079553,12.55483651,13.62825266
ENSG00000083520,13.84487141,11.84223628,11.00057446,12.59688324,13.44319244,10.66101985
ENSG00000100029,28.35067628,23.01624378,21.25225282,34.6279861,32.49508872,34.5797356
ENSG00000100591,43.11143224,34.64639592,36.23571034,51.90062987,56.73329845,47.63384848
ENSG00000160410,38.82398913,32.29309175,32.29818031,31.90693445,31.90344033,34.33782796
ENSG00000099942,26.69548622,27.40885196,25.65920478,23.32826328,23.22765917,22.65424756
ENSG00000079785,35.6507848,28.26910598,26.16453204,39.98841515,42.07480087,35.11784796
ENSG00000167881,18.91836307,16.03540499,15.05679804,18.1549594,18.09709564,17.49272716
ENSG00000159692,15.42206072,14.0665045,14.98828587,16.45465656,16.77053117,17.24718541
ENSG00000130204,29.98026941,26.94440182,26.87577283,42.15663204,46.98588524,46.79148222
ENSG00000166340,20.00997959,23.65847965,23.53621109,18.87445021,16.97539932,18.10752983
ENSG00000182180,43.37444699,36.12475098,34.30734231,57.14137215,57.99089984,54.5484651
ENSG00000102900,10.75225833,10.33184264,8.749095621,13.83739318,13.71810666,13.57446803
ENSG00000021355,50.78033393,41.28384616,36.8074235,44.06066803,41.47322375,40.50034186
ENSG00000120802,16.7409173,14.96565054,12.25485871,17.46935294,16.6999997,13.68562989
ENSG00000108106,44.63435153,36.21978302,40.74263341,52.25933564,56.10704924,53.48871369
ENSG00000180900,17.96365595,18.33219846,18.91945732,21.84884705,24.07128084,26.21987975
ENSG00000132612,20.51757889,19.7988979,21.47411647,25.31194367,24.76786603,27.24812683
ENSG00000124172,30.72856896,22.53948655,25.5968644,25.20156083,28.98258781,21.0115605
ENSG00000089063,43.44361581,36.47844456,32.7368936,52.20302852,52.70012648,40.87556627
ENSG00000143815,22.88140562,22.3812526,19.49888144,29.91338327,29.32563553,25.66198663
ENSG00000169895,24.79991373,17.79931216,19.37133944,20.7482489,21.61275885,18.24608343
ENSG00000095319,15.15217987,14.73419465,13.85795732,17.42808661,17.94687317,18.5272177
ENSG00000213553,156.1408983,124.9988182,110.5671119,160.9519221,135.6342774,133.7999502
ENSG00000101421,91.77396511,73.15048157,73.12153694,78.61557203,78.77541748,81.08324821
ENSG00000166454,25.96108635,22.87653941,21.25142889,18.70600505,18.86633848,17.43804244
ENSG00000186174,11.53657245,13.14359042,12.9610129,12.06249225,11.2169051,13.87277469
ENSG00000119383,25.96128526,22.32631264,23.11243957,22.80522231,22.01190962,22.92638929
ENSG00000157350,14.20368768,13.10386075,13.28605179,13.60454402,12.58316285,13.53364256
ENSG00000110047,19.59601169,17.27519111,17.69709982,16.93338141,18.95765248,19.65628125
ENSG00000068120,30.49094234,28.06933706,27.46322904,34.47286289,35.21710629,38.2190168
ENSG00000210135,1699.181928,1896.339808,2197.787747,1646.430598,1726.802288,1582.35822
ENSG00000177565,13.51065227,11.90585202,9.508174658,12.14831161,11.26788619,8.789695412
ENSG00000109332,15.25591458,12.168689,11.17691121,13.82586294,13.83484028,11.19550368
ENSG00000111530,10.40303122,9.018904462,7.908436438,11.14503418,9.905855588,8.68874782
ENSG00000101191,7.625458207,10.31086364,10.64823808,10.00600279,9.203629814,10.9814514
ENSG00000102225,19.63415552,19.04686691,19.47690012,20.98762896,19.18991569,21.13558996
ENSG00000034713,51.80105128,40.97230077,38.93905121,42.95578843,43.46475845,38.22006553
ENSG00000142599,11.59672181,13.27481996,12.21804146,10.38218953,9.469974831,10.62117328
ENSG00000149923,49.59718118,40.83143387,42.12351001,50.10160901,51.24751884,50.52568252
ENSG00000110917,16.81277238,18.95627175,18.66608389,19.54752576,20.64827918,21.06470257
ENSG00000136861,12.54881599,13.84339536,13.30620939,12.63193846,11.30366279,13.3538404
ENSG00000164649,34.14365307,27.02275734,24.05825763,39.24178314,32.0916258,33.79717409
ENSG00000147649,19.9409728,18.6513334,14.89797534,24.66534339,24.13060762,19.10122132
ENSG00000163347,30.39340172,32.35759214,30.4368485,38.01996221,43.17487507,37.29067104
ENSG00000198952,19.15043909,23.95501664,22.95592768,24.73604543,25.36021788,29.75650117
ENSG00000177889,21.4624228,16.57696701,16.52801148,24.26717722,24.98673513,19.90920458
ENSG00000169180,14.33456623,16.6127445,15.81366471,19.22620492,20.25848071,23.26854036
ENSG00000140391,15.95918206,15.11872033,14.52015973,15.80248508,15.79462188,13.75545646
ENSG00000140941,25.27719677,19.995228,20.44634925,25.97655655,29.11788804,24.85803027
ENSG00000111605,15.64489344,16.31146885,15.99656828,15.90313149,16.29011233,15.4984326
ENSG00000136158,62.71845969,53.88085746,51.27426056,32.60054443,27.27814993,25.69746839
ENSG00000114120,11.68730312,13.88258966,12.43821258,12.41431579,13.63818486,10.95358591
ENSG00000138385,26.17786401,21.14501839,21.44010469,28.45315804,31.94189512,22.23201829
ENSG00000141543,27.11859026,22.36821643,20.76653388,28.01653034,29.28157858,27.68085073
ENSG00000142208,12.35893254,11.4823533,11.12257953,11.53441493,10.67587444,11.86781206
ENSG00000180921,19.85881189,19.25816987,19.03778775,25.15219955,25.23795325,27.87050851
ENSG00000100030,13.10940032,11.74406438,10.21075239,12.19402573,10.84451506,9.812611498
ENSG00000104738,12.46425619,12.72590596,10.65085942,24.29511952,25.64562409,24.83775089
ENSG00000149091,11.1650745,11.82790558,12.01223428,11.25323099,12.01543431,13.11936076
ENSG00000164346,30.01983414,22.6141778,22.59813182,28.80272796,28.18248285,23.11901316
ENSG00000012660,33.0295475,31.324856,27.78593101,38.13965103,38.84971587,32.77209016
ENSG00000166145,38.69275818,40.85231928,39.39930243,30.34701985,31.81886861,35.36373018
ENSG00000160014,36.75977929,33.75504535,32.85375848,36.23935725,34.46404442,34.98543303
ENSG00000075239,22.23143868,18.60186342,15.98534211,26.96099772,28.14833734,25.31686395
ENSG00000144021,30.48609355,28.57851704,27.05032064,33.33203434,35.85368306,34.81149454
ENSG00000198380,14.98383604,12.35194037,11.48926976,16.27361021,17.03606155,14.31302404
ENSG00000100266,27.80899747,24.0051603,23.59785421,30.78475014,30.1634834,31.76355863
